video_id,timestamp,entity_id,entity_type,action
L21_V001,5.2,L21_V001_obj_2,person,news anchoring
L21_V001,5.2,L21_V001_obj_3,person,yoga
L21_V001,31.0,L21_V001_obj_45,person,news anchoring
L21_V001,34.0,L21_V001_obj_45,person,news anchoring
L21_V001,37.2,L21_V001_obj_45,person,news anchoring
L21_V001,40.4,L21_V001_obj_45,person,answering questions
L21_V001,43.6,L21_V001_obj_45,person,news anchoring
L21_V001,46.8,L21_V001_obj_45,person,news anchoring
L21_V001,50.0,L21_V001_obj_45,person,news anchoring
L21_V001,53.2,L21_V001_obj_45,person,news anchoring
L21_V001,56.4,L21_V001_obj_45,person,news anchoring
L21_V001,59.6,L21_V001_obj_45,person,news anchoring
L21_V001,80.8,L21_V001_obj_56,person,answering questions
L21_V001,95.6,L21_V001_obj_58,person,answering questions
L21_V001,99.0,L21_V001_obj_62,person,testifying
L21_V001,102.0,L21_V001_obj_62,person,testifying
L21_V001,102.0,L21_V001_obj_64,person,texting
L21_V001,108.0,L21_V001_obj_75,person,yoga
L21_V001,131.4,L21_V001_obj_104,person,crying
L21_V001,144.0,L21_V001_obj_133,person,motorcycling
L21_V001,144.0,L21_V001_obj_134,motorcycle,motorcycling
L21_V001,161.4,L21_V001_obj_142,person,tai chi
L21_V001,161.4,L21_V001_obj_149,person,country line dancing
L21_V001,172.2,L21_V001_obj_163,person,answering questions
L21_V001,181.6,L21_V001_obj_163,person,beatboxing
L21_V001,215.8,L21_V001_obj_177,person,planting trees
L21_V001,231.4,L21_V001_obj_181,person,kissing
L21_V001,243.2,L21_V001_obj_181,person,news anchoring
L21_V001,246.4,L21_V001_obj_181,person,news anchoring
L21_V001,249.6,L21_V001_obj_181,person,news anchoring
L21_V001,252.8,L21_V001_obj_181,person,news anchoring
L21_V001,256.0,L21_V001_obj_181,person,news anchoring
L21_V001,259.2,L21_V001_obj_181,person,kissing
L21_V001,279.2,L21_V001_obj_267,person,moving furniture
L21_V001,285.0,L21_V001_obj_262,person,texting
L21_V001,291.4,L21_V001_obj_315,person,kissing
L21_V001,293.6,L21_V001_obj_267,person,welding
L21_V001,294.4,L21_V001_obj_315,person,kissing
L21_V001,297.4,L21_V001_obj_267,person,welding
L21_V001,307.0,L21_V001_obj_341,person,folding clothes
L21_V001,320.0,L21_V001_obj_357,person,answering questions
L21_V001,323.2,L21_V001_obj_357,person,answering questions
L21_V001,376.6,L21_V001_obj_403,person,washing hands
L21_V001,395.0,L21_V001_obj_454,cow,milking cow
L21_V001,401.0,L21_V001_obj_496,cow,milking cow
L21_V001,402.6,L21_V001_obj_499,cow,milking cow
L21_V001,424.0,L21_V001_obj_621,person,texting
L21_V001,424.0,L21_V001_obj_622,person,answering questions
L21_V001,425.4,L21_V001_obj_601,person,arm wrestling
L21_V001,441.0,L21_V001_obj_622,person,news anchoring
L21_V001,441.2,L21_V001_obj_630,person,news anchoring
L21_V001,444.2,L21_V001_obj_622,person,news anchoring
L21_V001,447.4,L21_V001_obj_622,person,news anchoring
L21_V001,450.6,L21_V001_obj_622,person,news anchoring
L21_V001,450.8,L21_V001_obj_630,person,news anchoring
L21_V001,454.6,L21_V001_obj_631,person,kissing
L21_V001,454.6,L21_V001_obj_634,person,crying
L21_V001,454.6,L21_V001_obj_637,person,headbutting
L21_V001,464.0,L21_V001_obj_714,person,kissing
L21_V001,468.4,L21_V001_obj_743,person,giving or receiving award
L21_V001,468.6,L21_V001_obj_705,person,reading book
L21_V001,469.2,L21_V001_obj_746,person,yoga
L21_V001,471.4,L21_V001_obj_743,person,reading book
L21_V001,471.8,L21_V001_obj_705,person,bandaging
L21_V001,475.0,L21_V001_obj_705,person,answering questions
L21_V001,479.4,L21_V001_obj_753,person,yoga
L21_V001,479.4,L21_V001_obj_754,person,crying
L21_V001,482.4,L21_V001_obj_753,person,bandaging
L21_V001,482.6,L21_V001_obj_760,person,reading book
L21_V001,489.8,L21_V001_obj_755,person,writing
L21_V001,496.2,L21_V001_obj_755,person,writing
L21_V001,499.4,L21_V001_obj_769,person,writing
L21_V001,520.6,L21_V001_obj_774,person,tying tie
L21_V001,533.2,L21_V001_obj_781,person,kissing
L21_V001,535.2,L21_V001_obj_778,person,using computer
L21_V001,541.6,L21_V001_obj_778,person,kissing
L21_V001,557.8,L21_V001_obj_785,person,cleaning windows
L21_V001,560.6,L21_V001_obj_778,person,reading book
L21_V001,561.0,L21_V001_obj_785,person,texting
